Tue Oct 10 10:28:08 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Thu Oct 12 15:27:50 2017 EVMX AutoID.ini, AUTOID_INITIAL_STATE_X, 2.941778, 3.088048 Set Initial State
Thu Oct 12 15:27:50 2017 EVMX AutoID.ini, AUTOID_INITIAL_STATE_Z, -0.010899, -0.012181 Set Initial State
Thu Oct 12 15:43:15 2017 EVMX Menu.ini, DISPLAY_MODE_SELECTOR, 1, 0 Config Editor
Thu Oct 12 15:50:23 2017 EVMX Menu.ini, DISPLAY_MODE_SELECTOR, 0, 1 Config Editor
Fri Oct 13 09:02:10 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Fri Oct 13 14:53:34 2017 EVMX Hardware.ini, CAMERA_USE_SAME_IMAGE, 1, 0 Config Editor
Fri Oct 13 14:56:03 2017 EVMX Hardware.ini, CAMERA_USE_SAME_IMAGE, 0, 1 Config Editor
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_BOF, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_TEMPLATE, ,  Configure Output Statistics
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:33:18 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_BOF, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_TEMPLATE, ,  Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:33:24 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, X_LOCATION,      X,      X OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, Y_LOCATION,      Y,      Y OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, Z_LOCATION,      Z,      Z OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, R_LOCATION,      R,      R OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, A_LOCATION,      A,      A OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE1,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE2,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE3,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE4,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGLE_BET,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, DIAMETER,    DIA,    DIA OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, FLATNESS,    FLT,    FLT OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MIN_WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MAX_WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PERPEND_DIST,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, 3_D_DIST,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, RADIUS,    RAD,    RAD OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ROUNDNESS,    RND,    RND OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, SPHERE_DIA,    DIA,    DIA OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, SPHERE_RADIUS,    RAD,    RAD OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STRAIGHT_LINE,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, STRAIGHTNESS,    STR,    STR OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, SUP_ANGLE,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, X_DISTANCE,     XD,     XD OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, Y_DISTANCE,     YD,     YD OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, Z_DISTANCE,     ZD,     ZD OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CONCENTRICITY,    CON,    CON OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CL_ANGLE,    WCA,    WCA OGPuiConfigureOutputTags1Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MINIMUM,    MIN,    MIN OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MAXIMUM,    MAX,    MAX OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, AVERAGE,    AVG,    AVG OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, INCLINATION1,    INC,    INC OGPuiConfigureOutputTags2Page
